date,AGG,EEM,IJS,SPY,TLT,UUP,VNQ
2008-01-07,693600,54090900,172100,234991000,1315500,313200,668600
2008-01-08,1544400,88767900,217700,326365700,1604800,86000,646700
2008-01-09,437700,85492200,275200,301824900,2203500,98800,534600
2008-01-10,291900,84510900,160700,335701200,2681800,131900,717000
2008-01-11,315700,78241200,142600,267076600,1872900,34400,558300
2008-01-14,290400,70594500,90900,170365500,906100,128300,399900
2008-01-15,361400,90633900,104000,239940100,1435300,153900,542700
2008-01-16,620900,141276600,226700,378802600,3505100,322200,621800
2008-01-17,807500,133308000,230900,397892600,2940500,86900,700400
2008-01-18,809400,119655300,409200,348561500,2676800,102200,880900
2008-01-22,793000,153342900,403900,435923700,5423500,169000,925800
2008-01-23,911200,173383800,338000,511913000,7636600,158100,1329400
2008-01-24,469200,93140700,244600,259949300,5676700,135500,755600
2008-01-25,585400,65709300,286400,269603900,4371100,161200,690400
2008-01-28,484000,61924200,312600,217934600,1633500,378900,814200
2008-01-29,450900,42873000,219000,168968300,3100200,240900,532400
2008-01-30,557800,90782400,289000,334939200,3468000,47000,589500
2008-01-31,649200,91635900,241700,343680800,11441000,443700,743400
2008-02-01,610300,66237600,550500,206843600,4163700,209300,848600
2008-02-04,336200,47431800,287100,124694300,1729600,225600,520000
2008-02-05,622800,81961200,200800,286882500,2594600,298000,711000
2008-02-06,698600,94311600,205800,250792900,1339800,180000,558000
2008-02-07,622300,81689400,203600,297368100,5419700,231800,462600
2008-02-08,543400,64338300,533900,221643500,2832800,187600,837500
2008-02-11,746300,62668500,244900,188576300,2960200,155800,720200
2008-02-12,653400,95163900,285000,256654400,2897700,72800,902800
2008-02-13,510400,80838300,206700,181967800,3697500,118800,814900
2008-02-14,578800,77572200,309300,215207200,7505000,166500,1046100
2008-02-15,455300,40972800,304900,154110300,3687800,141900,1150900
2008-02-19,597200,60714600,398800,145190000,2911600,108900,1076500
2008-02-20,405300,67324200,522800,220085700,2550100,144300,1518700
2008-02-21,486400,47179200,436000,201051200,4197200,109400,1092300
2008-02-22,987700,58150800,385100,205491000,1959700,224900,1063400
2008-02-25,557900,62952600,1003300,190107000,3460900,55500,984800
2008-02-26,638400,62865300,435300,212420700,2618900,176500,889100
2008-02-27,633000,59912700,172300,168395800,2494400,176700,447800
2008-02-28,434500,52139100,444100,170831100,3410900,196600,627800
2008-02-29,922900,69116400,255400,252715200,3822000,195300,556600
2008-03-03,388300,85376100,269300,189483500,2036900,96300,629500
2008-03-04,385300,95442600,364100,282513100,3401100,52300,517100
2008-03-05,432100,63579300,327700,270681400,3871200,74200,558300
2008-03-06,1161200,57511500,209900,247911700,1342600,76300,535000
2008-03-07,1087600,70810500,321700,326434600,3601300,181600,636400
2008-03-10,444500,70676700,308300,235683600,3579000,83700,752200
2008-03-11,564200,100189800,226500,341440600,3309200,140500,577700
2008-03-12,429500,59353200,114000,229161100,4752900,114300,363400
2008-03-13,417500,85102500,386200,351504200,5763500,113600,503300
2008-03-14,490900,94845000,277500,484687800,6174800,203500,615900
2008-03-17,722200,104934000,243600,405311100,3329300,155700,1021200
2008-03-18,398200,82055700,262600,334416600,4022300,360700,774700
2008-03-19,403300,98289000,241900,345971600,5206400,332100,372600
2008-03-20,315600,83455200,297800,245320700,3905900,793700,531200
2008-03-24,423000,63315000,433200,208977300,5596200,491100,384200
2008-03-25,490500,49837200,357800,192947200,2038200,164400,752900
2008-03-26,341300,46039800,331500,196934300,1652000,216300,437000
2008-03-27,371300,45650100,189500,225153200,2405700,77400,673300
2008-03-28,466000,42123300,151500,180896100,1745500,121400,491400
2008-03-31,555900,51357900,125700,166692100,2546300,255500,409000
2008-04-01,1209100,59322000,132000,254547300,3821800,1428500,3876600
2008-04-02,499400,48963000,149700,210910800,3794200,306200,483400
2008-04-03,480900,49385100,448700,175884800,2839100,504600,508900
2008-04-04,431000,48387300,169600,204446800,1745200,1336500,1124600
2008-04-07,417000,48936600,152500,154245500,2231800,309100,681300
2008-04-08,408800,37712100,123300,148937300,1305200,144200,452500
2008-04-09,492700,38654100,63700,195610600,2883600,152500,515900
2008-04-10,456500,38757600,76800,192967800,1846500,190300,576600
2008-04-11,263600,45471000,443500,222973300,1987700,325700,422300
2008-04-14,683200,43521300,85200,160522000,3195300,298700,410800
2008-04-15,635600,34587600,155900,172389200,2821600,162000,218700
2008-04-16,386500,52355400,70400,189268900,4691100,300400,358200
2008-04-17,487200,35445900,134500,179665700,2020000,117300,400600
2008-04-18,620000,43182300,141000,218530600,2199700,751500,814400
2008-04-21,438600,39228000,109000,118587400,2805800,186600,307700
2008-04-22,569100,45971400,129600,162166000,1799700,225900,522800
2008-04-23,496300,38048400,85900,193309000,1221100,316900,693300
2008-04-24,364000,38298300,118700,229381300,3213600,1365700,886400
